,Word,V_normalization,A_normalization
0,不可思議,0.55,0.78
1,不平,0.33,0.6
2,不甘,0.28,0.68
3,不安,0.35,0.55
4,不利,0.33,0.57
5,不足,0.4,0.4
6,不定,0.4,0.35
7,不宜,0.35,0.43
8,不幸,0.2,0.62
9,不拘小節,0.68,0.4
10,不服,0.3,0.7
11,不知所措,0.28,0.65
12,不便,0.38,0.43
13,不耐,0.38,0.43
14,不耐煩,0.33,0.62
15,不准,0.33,0.65
16,不屑,0.25,0.62
17,不悅,0.28,0.62
18,不爽,0.22,0.78
19,不祥,0.22,0.53
20,不符,0.35,0.38
21,不順,0.33,0.45
22,不當,0.3,0.57
23,不解,0.4,0.4
24,不滿,0.28,0.68
25,不適,0.33,0.45
26,正,0.7,0.5
27,多餘,0.38,0.38
28,好,0.72,0.53
29,否定,0.3,0.55
30,否認,0.33,0.53
31,足夠,0.6,0.38
32,肯定,0.72,0.62
33,哇,0.62,0.7
34,哎呀,0.47,0.72
35,恰好,0.68,0.5
36,耶,0.78,0.78
37,單獨,0.43,0.33
38,無力,0.28,0.33
39,無足輕重,0.43,0.38
40,無情,0.2,0.6
41,無理,0.2,0.72
42,無暇,0.33,0.57
43,無趣,0.3,0.53
44,無禮,0.22,0.75
45,想,0.53,0.33
46,過分,0.22,0.72
47,對,0.68,0.47
48,認真,0.75,0.5
49,嘻,0.7,0.6
50,嘻嘻,0.75,0.65
51,隨便,0.4,0.53
52,隨意,0.57,0.4
53,豐富,0.72,0.57
54,願意,0.72,0.5
55,小心,0.45,0.62
56,分享,0.72,0.45
57,支持,0.78,0.5
58,支撐,0.57,0.57
59,付出,0.6,0.57
60,失去,0.28,0.68
61,失敗,0.15,0.78
62,打,0.28,0.7
63,同意,0.68,0.43
64,成功,0.9,0.7
65,死,0.02,0.5
66,吸引,0.62,0.65
67,希望,0.75,0.53
68,忘記,0.38,0.45
69,協助,0.7,0.45
70,抱,0.6,0.53
71,玩,0.57,0.6
72,信任,0.85,0.6
73,相信,0.78,0.55
74,討厭,0.2,0.7
75,貢獻,0.8,0.57
76,逃避,0.25,0.62
77,喜愛,0.78,0.65
78,喜歡,0.75,0.6
79,喪失,0.2,0.6
80,期望,0.62,0.53
81,答應,0.6,0.5
82,幹,0.0,0.98
83,愛,0.9,0.55
84,愛好,0.75,0.57
85,感謝,0.8,0.57
86,損失,0.28,0.53
87,經歷,0.5,0.47
88,遇到,0.5,0.4
89,遊戲,0.6,0.47
90,鼓勵,0.75,0.65
91,適合,0.57,0.35
92,擔心,0.3,0.7
93,輸,0.25,0.43
94,錯過,0.33,0.43
95,幫忙,0.68,0.5
96,幫助,0.7,0.57
97,應付,0.4,0.55
98,謝謝,0.7,0.6
99,懷念,0.62,0.57
100,關心,0.68,0.62
101,關懷,0.72,0.68
102,贏,0.78,0.75
103,贏得,0.8,0.75
104,下流,0.15,0.82
105,王八蛋,0.05,0.95
106,他媽的,0.05,0.93
107,白目,0.15,0.78
108,白癡,0.15,0.8
109,呸,0.17,0.8
110,垃圾,0.15,0.8
111,怪胎,0.17,0.75
112,放屁,0.2,0.75
113,狗屁,0.17,0.82
114,淫婦,0.1,0.85
115,混蛋,0.12,0.88
116,笨蛋,0.25,0.57
117,媽的,0.15,0.82
118,愚蠢,0.22,0.62
119,該死,0.2,0.82
120,賤,0.15,0.78
121,賤人,0.12,0.85
122,賤貨,0.1,0.9
123,操,0.12,0.88
124,蕩婦,0.1,0.85
125,蹩腳,0.33,0.53
126,壞蛋,0.25,0.68
127,爛貨,0.15,0.72
128,白痴,0.17,0.68
129,八卦,0.3,0.45
130,仇人,0.15,0.78
131,仇恨,0.15,0.85
132,仇敵,0.12,0.82
133,分擔,0.57,0.43
134,友,0.68,0.4
135,反駁,0.35,0.68
136,打岔,0.35,0.4
137,打架,0.2,0.82
138,打斷,0.38,0.45
139,交往,0.68,0.53
140,同情,0.55,0.4
141,安心,0.57,0.17
142,伴侶,0.75,0.45
143,忌妒,0.25,0.72
144,批評,0.28,0.82
145,抗議,0.28,0.85
146,取笑,0.33,0.65
147,坦白,0.62,0.57
148,奉承,0.33,0.57
149,奉獻,0.72,0.62
150,抱怨,0.22,0.7
151,拒絕,0.25,0.7
152,放心,0.65,0.28
153,朋友,0.72,0.4
154,爭吵,0.3,0.7
155,爭論,0.35,0.7
156,知己,0.78,0.47
157,侮辱,0.17,0.82
158,信服,0.68,0.55
159,信賴,0.78,0.55
160,冒犯,0.28,0.75
161,怨恨,0.12,0.85
162,指責,0.3,0.72
163,原諒,0.6,0.4
164,辱罵,0.17,0.75
165,鬥爭,0.25,0.8
166,情人,0.72,0.7
167,甜心,0.72,0.62
168,責備,0.3,0.68
169,逗弄,0.55,0.55
170,插嘴,0.33,0.57
171,款待,0.65,0.55
172,詛咒,0.15,0.8
173,開玩笑,0.65,0.53
174,閒話,0.38,0.43
175,愛人,0.78,0.72
176,愛戀,0.82,0.72
177,隔離,0.3,0.5
178,嘉獎,0.72,0.6
179,稱讚,0.72,0.62
180,說服,0.5,0.4
181,說長道短,0.28,0.5
182,駁斥,0.22,0.78
183,嘲弄,0.2,0.65
184,嘲笑,0.2,0.7
185,嘲罵,0.2,0.8
186,嘲諷,0.2,0.8
187,寬恕,0.65,0.45
188,慶典,0.7,0.57
189,慶祝,0.75,0.68
190,憐憫,0.6,0.5
191,摯友,0.8,0.53
192,敵人,0.25,0.62
193,樂意,0.72,0.55
194,熱愛,0.78,0.75
195,調情,0.55,0.72
196,諂媚,0.3,0.57
197,親切,0.75,0.5
198,親愛,0.8,0.62
199,親愛的,0.78,0.68
200,幫手,0.68,0.47
201,戲弄,0.3,0.65
202,鍾愛,0.75,0.7
203,歸咎,0.28,0.57
204,離婚,0.17,0.6
205,懷疑,0.35,0.43
206,譏,0.28,0.62
207,寶貝,0.8,0.68
208,饒恕,0.57,0.5
209,譴責,0.25,0.78
210,歡迎,0.78,0.68
211,歡送,0.62,0.65
212,歡聚,0.78,0.65
213,戀人,0.75,0.6
214,戀愛,0.82,0.68
215,讚美,0.75,0.57
216,讚揚,0.82,0.7
217,讚譽,0.82,0.72
218,ㄏㄏ,0.6,0.45
219,一無所有,0.17,0.43
220,七竅生煙,0.15,0.85
221,了不起,0.75,0.68
222,人心惶惶,0.2,0.8
223,上級,0.47,0.43
224,上當,0.28,0.65
225,下定決心,0.65,0.72
226,口吃,0.35,0.38
227,大方,0.68,0.53
228,大笑,0.68,0.72
229,大膽,0.55,0.65
230,小氣,0.33,0.45
231,小偷,0.28,0.57
232,才能,0.7,0.45
233,才智,0.75,0.45
234,不仁,0.25,0.6
235,不貞,0.22,0.72
236,不顧一切,0.45,0.85
237,中斷,0.45,0.33
238,仁心,0.8,0.53
239,仁術,0.8,0.5
240,仁愛,0.85,0.53
241,仁慈,0.85,0.53
242,仁義,0.8,0.55
243,仇,0.17,0.62
244,仇殺,0.05,0.9
245,仇視,0.12,0.82
246,元兇,0.15,0.68
247,內疚,0.25,0.5
248,公憤,0.17,0.88
249,凶,0.22,0.78
250,分心,0.38,0.43
251,分手,0.22,0.68
252,分歧,0.28,0.57
253,分紅,0.65,0.43
254,分散,0.43,0.35
255,分裂,0.33,0.6
256,勾引,0.35,0.68
257,厄運,0.25,0.6
258,及時,0.68,0.55
259,反抗,0.33,0.7
260,反叛,0.22,0.68
261,反派,0.28,0.5
262,反感,0.33,0.53
263,反對,0.3,0.65
264,天才,0.72,0.55
265,天堂,0.75,0.55
266,天資,0.6,0.43
267,天賦,0.62,0.43
268,幻想,0.45,0.4
269,引人注目,0.6,0.68
270,引誘,0.35,0.68
271,心灰意冷,0.22,0.33
272,心神不定,0.28,0.7
273,心神不寧,0.28,0.72
274,心情,0.5,0.33
275,心痛,0.2,0.78
276,心愛,0.78,0.68
277,心煩意亂,0.25,0.8
278,心碎,0.15,0.88
279,心酸,0.22,0.72
280,支配,0.45,0.53
281,欠債,0.3,0.45
282,毛骨悚然,0.15,0.88
283,火熱,0.68,0.78
284,世仇,0.1,0.9
285,乏味,0.3,0.25
286,仔細,0.65,0.35
287,充沛,0.7,0.62
288,出色,0.78,0.57
289,功勞,0.72,0.55
290,古怪,0.4,0.47
291,可口,0.68,0.6
292,可怕,0.3,0.72
293,可恥,0.17,0.78
294,可笑,0.25,0.7
295,可悲,0.2,0.68
296,可惡,0.17,0.78
297,可愛,0.75,0.65
298,可鄙,0.17,0.8
299,可憎,0.17,0.78
300,可憐,0.33,0.53
301,可靠,0.72,0.53
302,外向,0.62,0.6
303,外行,0.35,0.45
304,外傷,0.33,0.65
305,失眠,0.25,0.33
306,失控,0.17,0.85
307,失望,0.25,0.57
308,失誤,0.33,0.55
309,平安,0.78,0.3
310,平和,0.75,0.22
311,平庸,0.45,0.25
312,平靜,0.68,0.17
313,平穩,0.6,0.3
314,打仗,0.25,0.82
315,打倒,0.3,0.7
316,打破,0.38,0.65
317,打情罵俏,0.45,0.7
318,打敗,0.65,0.62
319,打擊,0.4,0.72
320,打擾,0.33,0.57
321,打攪,0.33,0.57
322,末日,0.1,0.72
323,正面,0.7,0.45
324,生命力,0.72,0.6
325,生氣,0.55,0.6
326,生氣勃勃,0.75,0.72
327,生病,0.3,0.38
328,生動,0.68,0.6
329,生疏,0.35,0.3
330,生厭,0.3,0.6
331,用力,0.5,0.75
332,目瞪口呆,0.5,0.8
333,矛盾,0.4,0.45
334,丟人,0.22,0.62
335,丟人現眼,0.17,0.72
336,丟下,0.22,0.55
337,丟棄,0.25,0.57
338,丟臉,0.25,0.6
339,交戰,0.38,0.8
340,任性,0.3,0.55
341,兇,0.3,0.78
342,光亮,0.6,0.45
343,光榮,0.72,0.65
344,光輝,0.7,0.6
345,劣,0.25,0.5
346,危,0.28,0.7
347,吃醋,0.33,0.7
348,吃驚,0.35,0.85
349,合宜,0.65,0.43
350,回春,0.65,0.47
351,多情,0.4,0.62
352,多疑,0.35,0.62
353,好玩,0.65,0.6
354,好笑,0.65,0.68
355,好處,0.65,0.5
356,好棒,0.78,0.7
357,好運,0.7,0.53
358,妄想,0.28,0.62
359,安全,0.68,0.43
360,安逸,0.62,0.3
361,安寧,0.65,0.22
362,安靜,0.57,0.17
363,安穩,0.62,0.2
364,成見,0.35,0.53
365,成就,0.75,0.65
366,收穫,0.72,0.57
367,曲解,0.3,0.62
368,有力,0.62,0.62
369,有用,0.68,0.53
370,有利,0.6,0.55
371,有助,0.68,0.53
372,有害,0.3,0.57
373,有效,0.7,0.5
374,有益,0.7,0.5
375,有趣,0.75,0.57
376,有錢,0.68,0.55
377,次要,0.45,0.5
378,次等,0.38,0.45
379,死人,0.15,0.75
380,死亡,0.15,0.72
381,死不,0.35,0.57
382,死心,0.17,0.6
383,死刑,0.17,0.78
384,死氣,0.25,0.6
385,死期,0.22,0.7
386,死當,0.25,0.68
387,死路,0.28,0.5
388,死對頭,0.2,0.8
389,污穢,0.17,0.78
390,灰心,0.33,0.45
391,百感交集,0.3,0.78
392,自大,0.25,0.7
393,自甘墮落,0.2,0.53
394,自由,0.7,0.53
395,自在,0.72,0.45
396,自私,0.28,0.45
397,自卑,0.2,0.35
398,自信,0.75,0.57
399,自負,0.45,0.62
400,自責,0.33,0.53
401,自尊,0.55,0.47
402,自豪,0.7,0.62
403,自鳴得意,0.4,0.5
404,自暴自棄,0.12,0.75
405,至高無上,0.82,0.72
406,至善,0.82,0.62
407,色情,0.22,0.65
408,伶俐,0.72,0.5
409,低沉,0.45,0.3
410,低能,0.2,0.45
411,低能兒,0.2,0.47
412,低迷,0.33,0.28
413,低落,0.35,0.25
414,佔便宜,0.33,0.43
415,作嘔,0.2,0.8
416,作弊,0.12,0.68
417,克制,0.5,0.5
418,免費,0.65,0.47
419,冷,0.33,0.43
420,冷淡,0.25,0.33
421,冷酷,0.17,0.55
422,冷靜,0.53,0.43
423,利己,0.57,0.47
424,利益,0.65,0.5
425,利潤,0.7,0.55
426,吝嗇,0.3,0.45
427,含糊,0.35,0.4
428,吹毛求疵,0.28,0.57
429,吻,0.78,0.82
430,呆,0.35,0.35
431,困,0.35,0.43
432,坎坷,0.12,0.47
433,壯闊,0.72,0.62
434,壯麗,0.75,0.68
435,壯觀,0.75,0.72
436,妓女,0.22,0.47
437,妨害,0.2,0.65
438,妨礙,0.28,0.6
439,孝,0.78,0.38
440,孝順,0.8,0.55
441,孝敬,0.8,0.55
442,完美,0.82,0.68
443,完備,0.72,0.47
444,完善,0.72,0.45
445,宏大,0.75,0.62
446,宏偉,0.78,0.75
447,屁眼,0.1,0.57
448,岔開,0.38,0.4
449,巫婆,0.33,0.5
450,庇護,0.65,0.57
451,弄痛,0.25,0.68
452,弄壞,0.28,0.62
453,忍,0.35,0.5
454,忐忑,0.35,0.72
455,忘恩負義,0.1,0.85
456,快樂,0.78,0.68
457,扭曲,0.33,0.53
458,扶持,0.62,0.4
459,批判,0.2,0.72
460,把握,0.6,0.45
461,抑制,0.47,0.55
462,抑鬱,0.17,0.6
463,投入,0.62,0.53
464,抗爭,0.3,0.78
465,折磨,0.17,0.75
466,改善,0.7,0.53
467,改進,0.65,0.45
468,攻勢,0.53,0.68
469,攻擊,0.33,0.8
470,決心,0.68,0.7
471,決定,0.62,0.75
472,沉重,0.28,0.6
473,沉迷,0.25,0.53
474,沉著,0.68,0.28
475,災,0.12,0.57
476,牢騷,0.3,0.65
477,狂怒,0.08,0.95
478,狂笑,0.9,0.9
479,狂喜,0.95,0.98
480,狂暴,0.1,0.98
481,狂熱,0.45,0.98
482,狂躁,0.15,0.98
483,私生子,0.28,0.38
484,肝腸寸斷,0.08,0.88
485,良,0.68,0.47
486,走運,0.75,0.6
487,辛酸,0.22,0.62
488,邪惡,0.17,0.7
489,享受,0.7,0.47
490,佳,0.68,0.45
491,使勁,0.45,0.68
492,依戀,0.57,0.57
493,典範,0.78,0.55
494,刺眼,0.28,0.57
495,刺痛,0.22,0.7
496,刺傷,0.22,0.75
497,刺激,0.4,0.88
498,刻薄,0.22,0.7
499,卑劣,0.12,0.88
500,卑鄙,0.1,0.9
501,受不了,0.25,0.8
502,受苦,0.25,0.62
503,受虐,0.1,0.88
504,受害,0.1,0.85
505,受惠,0.75,0.55
506,受傷,0.22,0.55
507,受罪,0.22,0.72
508,受騙,0.25,0.68
509,周到,0.7,0.43
510,呵呵,0.62,0.45
511,呼天搶地,0.1,0.98
512,命運,0.47,0.43
513,咆嘯,0.33,0.88
514,和平,0.68,0.28
515,和善,0.75,0.25
516,和煦,0.72,0.38
517,和睦,0.7,0.4
518,和諧,0.78,0.3
519,和藹,0.8,0.3
520,咒罵,0.17,0.8
521,固執,0.3,0.55
522,坦率,0.7,0.45
523,坦誠,0.75,0.4
524,奇怪,0.4,0.53
525,奇特,0.55,0.55
526,孤,0.3,0.45
527,宜人,0.68,0.35
528,幸運,0.78,0.55
529,幸福,0.85,0.38
530,忠,0.75,0.55
531,忠心,0.8,0.65
532,忠孝,0.8,0.6
533,忠誠,0.78,0.6
534,忠實,0.75,0.6
535,忽略,0.38,0.35
536,忽視,0.28,0.47
537,怕,0.28,0.68
538,怕生,0.38,0.53
539,怕羞,0.4,0.55
540,怡人,0.62,0.4
541,性情,0.53,0.43
542,性騷擾,0.2,0.7
543,怪,0.3,0.47
544,怪異,0.33,0.5
545,怪誕,0.3,0.6
546,承擔,0.53,0.55
547,承諾,0.7,0.53
548,抨擊,0.22,0.78
549,抱歉,0.38,0.35
550,抵制,0.28,0.7
551,拉緊,0.53,0.57
552,拋棄,0.2,0.6
553,拙劣,0.2,0.65
554,放任,0.25,0.65
555,放棄,0.2,0.6
556,放肆,0.17,0.85
557,放縱,0.22,0.72
558,放鬆,0.65,0.12
559,昂貴,0.35,0.43
560,明亮,0.7,0.38
561,明智,0.78,0.43
562,昏沉,0.28,0.3
563,昏亂,0.3,0.53
564,昏頭,0.3,0.47
565,易怒,0.28,0.7
566,服從,0.55,0.35
567,枉然,0.3,0.4
568,果斷,0.62,0.62
569,欣欣,0.68,0.68
570,欣喜,0.75,0.75
571,欣然,0.68,0.65
572,欣慰,0.65,0.45
573,欣賞,0.72,0.57
574,歧視,0.22,0.72
575,沮喪,0.22,0.53
576,治療,0.55,0.35
577,沾沾自喜,0.45,0.62
578,泣,0.3,0.5
579,玩耍,0.65,0.6
580,玩笑,0.57,0.62
581,玩樂,0.65,0.7
582,知足,0.7,0.4
583,知識,0.7,0.3
584,空洞,0.38,0.28
585,空虛,0.25,0.4
586,花招,0.38,0.47
587,長處,0.72,0.47
588,非人,0.3,0.6
589,非禮,0.15,0.82
590,非難,0.28,0.57
591,侵犯,0.17,0.65
592,侵佔,0.2,0.7
593,侵害,0.17,0.78
594,侵略,0.17,0.85
595,侵擾,0.25,0.72
596,侵襲,0.2,0.85
597,侷促,0.38,0.57
598,俊美,0.7,0.45
599,俗,0.35,0.45
600,俗氣,0.35,0.43
601,保衛,0.6,0.68
602,保證,0.7,0.65
603,保護,0.72,0.72
604,信心,0.8,0.55
605,信奉,0.7,0.53
606,信義,0.75,0.55
607,信實,0.7,0.47
608,信譽,0.75,0.55
609,冒險,0.47,0.82
610,冠軍,0.88,0.8
611,勇氣,0.82,0.72
612,勇敢,0.8,0.7
613,勉強,0.35,0.5
614,叛亂,0.17,0.85
615,咬牙切齒,0.15,0.9
616,咯咯笑,0.68,0.6
617,哀求,0.22,0.57
618,哀怨,0.22,0.62
619,哀淒,0.2,0.57
620,哀痛,0.17,0.7
621,哀傷,0.17,0.55
622,哀愁,0.17,0.55
623,哀號,0.12,0.8
624,哀慟,0.1,0.82
625,品行,0.55,0.45
626,品德,0.53,0.4
627,哄騙,0.3,0.57
628,哈,0.6,0.53
629,哈哈,0.7,0.62
630,威脅,0.25,0.8
631,威嚴,0.55,0.55
632,帥,0.7,0.53
633,帥氣,0.75,0.62
634,幽默,0.75,0.57
635,後悔,0.28,0.4
636,怒,0.17,0.78
637,怒不,0.35,0.6
638,怒火,0.17,0.82
639,怒斥,0.12,0.95
640,怒目,0.2,0.88
641,怒色,0.22,0.8
642,怒吼,0.12,0.98
643,怒氣,0.17,0.85
644,怒視,0.17,0.88
645,怒罵,0.1,0.98
646,思,0.43,0.47
647,思念,0.43,0.43
648,思鄉,0.35,0.6
649,恍惚,0.35,0.35
650,恨,0.17,0.78
651,恬,0.55,0.33
652,恰當,0.62,0.4
653,拮据,0.28,0.35
654,拯救,0.68,0.7
655,拷打,0.2,0.82
656,拷問,0.22,0.75
657,拼命,0.53,0.82
658,挑剔,0.35,0.55
659,挑戰,0.65,0.72
660,挑釁,0.28,0.72
661,挖苦,0.3,0.6
662,柔,0.53,0.25
663,柔軟,0.6,0.3
664,柔順,0.6,0.28
665,柔腸寸斷,0.1,0.85
666,歪曲,0.33,0.38
667,毒,0.22,0.6
668,洩氣,0.33,0.33
669,活力,0.7,0.65
670,活潑,0.72,0.68
671,活躍,0.68,0.82
672,流行,0.57,0.53
673,流淚,0.28,0.55
674,炫耀,0.35,0.62
675,為難,0.3,0.47
676,狠心,0.17,0.8
677,珍奇,0.72,0.6
678,珍惜,0.75,0.5
679,珍視,0.75,0.53
680,珍貴,0.75,0.55
681,珍愛,0.78,0.62
682,珍藏,0.7,0.55
683,盼望,0.65,0.55
684,看不起,0.28,0.62
685,約束,0.45,0.45
686,美人,0.62,0.55
687,美好,0.72,0.57
688,美妙,0.75,0.65
689,美味,0.72,0.57
690,美夢,0.72,0.6
691,美滿,0.8,0.68
692,美德,0.8,0.53
693,美麗,0.78,0.6
694,背叛,0.12,0.88
695,胡扯,0.25,0.82
696,致命,0.12,0.85
697,苛求,0.25,0.7
698,若無其事,0.38,0.45
699,苦,0.28,0.45
700,苦惱,0.28,0.5
701,英俊,0.7,0.43
702,英勇,0.75,0.7
703,英雄,0.82,0.75
704,虐待,0.15,0.8
705,負心,0.17,0.65
706,負債,0.28,0.62
707,負擔,0.33,0.53
708,迫害,0.15,0.8
709,重大,0.47,0.78
710,重擔,0.35,0.78
711,陌生,0.38,0.35
712,降級,0.33,0.6
713,面臨,0.47,0.6
714,風險,0.35,0.68
715,首要,0.53,0.5
716,首創,0.55,0.57
717,倒楣,0.28,0.55
718,倒霉,0.28,0.55
719,倔強,0.4,0.68
720,值得,0.68,0.57
721,值錢,0.65,0.57
722,凌亂,0.3,0.62
723,剝奪,0.25,0.7
724,哭泣,0.22,0.7
725,哭喊,0.22,0.85
726,哭訴,0.22,0.72
727,哭鬧,0.22,0.8
728,哽咽,0.25,0.68
729,唐突,0.33,0.55
730,奚落,0.28,0.62
731,娛樂,0.68,0.65
732,害怕,0.28,0.57
733,害羞,0.4,0.45
734,容光煥發,0.78,0.5
735,容忍,0.33,0.57
736,差,0.3,0.45
737,差勁,0.3,0.72
738,弱,0.35,0.45
739,弱點,0.35,0.47
740,徒勞無功,0.3,0.43
741,恐怖,0.25,0.72
742,恐慌,0.25,0.75
743,恐嚇,0.17,0.8
744,恐懼,0.2,0.72
745,恩典,0.72,0.45
746,恩惠,0.68,0.5
747,恭維,0.5,0.45
748,悔之,0.4,0.57
749,悔改,0.38,0.62
750,悔恨,0.22,0.8
751,悔悟,0.28,0.75
752,悔意,0.25,0.6
753,悔過,0.22,0.65
754,挫折,0.25,0.5
755,挫敗,0.25,0.72
756,振奮,0.78,0.75
757,捐贈,0.68,0.53
758,效率,0.65,0.47
759,時髦,0.68,0.53
760,書呆子,0.33,0.4
761,栩栩如生,0.72,0.55
762,氣急敗壞,0.17,0.85
763,氣憤,0.17,0.75
764,氣餒,0.22,0.38
765,浪漫,0.7,0.62
766,消沉,0.3,0.4
767,消極,0.28,0.38
768,消滅,0.33,0.62
769,狹小,0.35,0.38
770,狹隘,0.35,0.4
771,疲乏,0.25,0.35
772,疲於奔命,0.17,0.62
773,疲倦,0.25,0.38
774,疲弱,0.25,0.33
775,疲累,0.25,0.33
776,疲勞,0.25,0.35
777,疲憊,0.25,0.33
778,疼痛,0.3,0.62
779,疼愛,0.75,0.68
780,益處,0.7,0.53
781,真心,0.75,0.57
782,真相,0.68,0.55
783,真理,0.68,0.57
784,真誠,0.75,0.5
785,真實,0.62,0.45
786,破滅,0.25,0.75
787,破壞,0.22,0.72
788,祝賀,0.75,0.65
789,祝福,0.7,0.6
790,神經病,0.22,0.68
791,神經質,0.28,0.57
792,神聖,0.78,0.5
793,笑,0.72,0.6
794,笑死,0.55,0.75
795,笑容,0.78,0.53
796,笑話,0.6,0.47
797,紛爭,0.25,0.7
798,缺少,0.33,0.43
799,缺乏,0.3,0.45
800,缺失,0.33,0.43
801,缺陷,0.25,0.45
802,缺德,0.22,0.72
803,缺憾,0.2,0.65
804,缺點,0.33,0.45
805,能幹,0.72,0.62
806,脅迫,0.2,0.78
807,脆弱,0.3,0.45
808,臭,0.35,0.45
809,臭味,0.35,0.5
810,臭氣,0.33,0.55
811,茫然,0.3,0.3
812,草率,0.3,0.47
813,荒唐,0.22,0.72
814,荒謬,0.2,0.78
815,虔誠,0.7,0.55
816,衰,0.33,0.4
817,衰老,0.3,0.4
818,衰弱,0.28,0.5
819,衰退,0.28,0.5
820,衰敗,0.25,0.65
821,衰微,0.28,0.47
822,衷心,0.7,0.55
823,討喜,0.72,0.62
824,迴避,0.33,0.5
825,迷人,0.72,0.65
826,迷失,0.3,0.45
827,迷惘,0.3,0.5
828,迷惑,0.3,0.45
829,迷亂,0.28,0.65
830,迷路,0.4,0.53
831,迷戀,0.43,0.65
832,逃離,0.38,0.65
833,逆向,0.38,0.43
834,高貴,0.7,0.38
835,高階,0.6,0.35
836,高雅,0.75,0.38
837,高傲,0.28,0.62
838,高興,0.75,0.7
839,假裝,0.4,0.45
840,偉大,0.78,0.7
841,偏心,0.28,0.55
842,偏好,0.53,0.38
843,偏見,0.3,0.57
844,偏執,0.33,0.57
845,偏愛,0.5,0.47
846,偷,0.17,0.5
847,偷取,0.17,0.68
