,Word,V_normalization,A_normalization
848,偷竊,0.17,0.75
849,偽造,0.2,0.62
850,動人,0.72,0.65
851,動聽,0.75,0.7
852,啜泣,0.25,0.72
853,執拗,0.33,0.62
854,堅決,0.55,0.65
855,堅定,0.65,0.68
856,堅強,0.72,0.65
857,娼妓,0.22,0.6
858,寂寞,0.28,0.45
859,寂寥,0.28,0.17
860,崇拜,0.68,0.72
861,崇高,0.78,0.68
862,強,0.68,0.55
863,強力,0.65,0.68
864,強壯,0.72,0.55
865,強姦,0.05,0.93
866,強迫,0.22,0.8
867,強烈,0.47,0.85
868,強健,0.7,0.68
869,強硬,0.47,0.75
870,強暴犯,0.05,0.95
871,得意,0.6,0.55
872,得意洋洋,0.45,0.7
873,得罪,0.28,0.57
874,得體,0.65,0.45
875,徘徊,0.45,0.45
876,從容,0.6,0.3
877,悠閒,0.68,0.2
878,患病,0.22,0.47
879,情緒,0.45,0.55
880,惋惜,0.25,0.43
881,掃興,0.28,0.47
882,排斥,0.28,0.62
883,掙扎,0.28,0.8
884,掛念,0.47,0.53
885,掛慮,0.47,0.62
886,控制,0.4,0.5
887,推崇,0.68,0.6
888,敏捷,0.65,0.55
889,敏感,0.45,0.5
890,敏銳,0.68,0.53
891,救,0.5,0.68
892,敗壞,0.2,0.82
893,欲絕,0.12,0.9
894,殺,0.08,0.85
895,殺死,0.05,0.9
896,淘氣,0.57,0.57
897,淚流滿面,0.12,0.85
898,淚珠,0.33,0.45
899,淡漠,0.38,0.15
900,淨土,0.55,0.28
901,深思,0.53,0.2
902,深情,0.78,0.53
903,深愛,0.88,0.68
904,混帳,0.08,0.88
905,混亂,0.25,0.68
906,淹沒,0.33,0.57
907,清白,0.65,0.3
908,清楚,0.57,0.35
909,爽,0.78,0.78
910,爽心,0.78,0.75
911,爽快,0.8,0.72
912,爽約,0.28,0.55
913,爽朗,0.72,0.53
914,牽掛,0.43,0.5
915,猛烈,0.45,0.93
916,猜疑,0.28,0.57
917,理智,0.65,0.33
918,理想,0.72,0.5
919,甜言,0.68,0.5
920,甜美,0.7,0.33
921,甜密,0.75,0.5
922,甜甜,0.68,0.43
923,甜蜜,0.72,0.55
924,甜頭,0.6,0.45
925,疏忽,0.3,0.55
926,疏漏,0.3,0.55
927,盛怒,0.1,0.95
928,眼花撩亂,0.43,0.57
929,眼花繚亂,0.43,0.57
930,眼淚,0.3,0.6
931,眾怒,0.12,0.88
932,窒息,0.15,0.47
933,窒礙,0.2,0.72
934,笨,0.3,0.55
935,笨手笨腳,0.28,0.62
936,笨拙,0.28,0.47
937,粗心,0.35,0.47
938,粗俗,0.25,0.57
939,粗野,0.25,0.72
940,粗暴,0.15,0.9
941,粗魯,0.3,0.62
942,累,0.33,0.45
943,細心,0.53,0.33
944,統治,0.53,0.65
945,羞怯,0.33,0.43
946,羞恥,0.2,0.8
947,羞辱,0.12,0.85
948,羞愧,0.22,0.78
949,羞憤,0.15,0.85
950,莊嚴,0.6,0.3
951,處罰,0.3,0.62
952,設防,0.5,0.47
953,許諾,0.6,0.47
954,貧困,0.28,0.43
955,貧苦,0.22,0.55
956,貧病,0.22,0.45
957,貧窮,0.22,0.45
958,貧賤,0.17,0.8
959,貪,0.28,0.55
960,貪心,0.25,0.57
961,貪生,0.25,0.55
962,貪汙,0.1,0.82
963,貪求,0.28,0.6
964,貪念,0.33,0.5
965,貪婪,0.22,0.7
966,貪圖,0.25,0.6
967,貪慾,0.33,0.57
968,軟弱,0.33,0.33
969,逗趣,0.68,0.53
970,逝世,0.17,0.4
971,造反,0.15,0.85
972,野蠻,0.25,0.72
973,陰沉,0.28,0.3
974,陰森,0.28,0.33
975,陰暗,0.33,0.35
976,陳腐,0.22,0.5
977,陶醉,0.68,0.43
978,麻木,0.38,0.28
979,麻煩,0.33,0.5
980,凱旋,0.78,0.75
981,創傷,0.22,0.65
982,勝利,0.85,0.78
983,勝過,0.65,0.6
984,博愛,0.72,0.45
985,博學,0.72,0.47
986,善心,0.72,0.4
987,善良,0.8,0.43
988,善意,0.72,0.5
989,喜上眉稍,0.8,0.72
990,喜出望外,0.85,0.82
991,喜形於色,0.8,0.72
992,喜怒哀樂,0.5,0.53
993,喜怒無常,0.3,0.6
994,喜宴,0.7,0.65
995,喜悅,0.8,0.65
996,喜氣,0.75,0.5
997,喜從天降,0.8,0.75
998,喜新厭舊,0.3,0.53
999,喜極而泣,0.9,0.93
1000,喜劇,0.72,0.5
1001,喜慶,0.8,0.7
1002,喝采,0.8,0.75
1003,喪心,0.25,0.65
1004,喪生,0.1,0.7
1005,喪志,0.17,0.55
1006,喪氣,0.25,0.5
1007,喪偶,0.2,0.65
1008,喪盡,0.22,0.75
1009,喪膽,0.22,0.82
1010,喪禮,0.12,0.43
1011,報仇,0.22,0.88
1012,報復,0.15,0.82
1013,富有,0.78,0.47
1014,富裕,0.8,0.55
1015,寒酸,0.33,0.4
1016,尊重,0.72,0.53
1017,尊貴,0.72,0.53
1018,尊敬,0.75,0.55
1019,尊榮,0.82,0.53
1020,尊嚴,0.65,0.53
1021,尋歡作樂,0.4,0.68
1022,就緒,0.53,0.33
1023,復仇,0.15,0.82
1024,悲哀,0.2,0.45
1025,悲苦,0.17,0.5
1026,悲悽,0.15,0.47
1027,悲情,0.25,0.5
1028,悲喜,0.43,0.55
1029,悲痛,0.2,0.72
1030,悲傷,0.22,0.62
1031,悲愁,0.22,0.45
1032,悲慘,0.15,0.75
1033,悲慟,0.1,0.93
1034,悲劇,0.15,0.68
1035,悲憤,0.17,0.85
1036,悲憫,0.22,0.5
1037,悲歡,0.47,0.55
1038,悲觀,0.28,0.43
1039,悶,0.35,0.38
1040,悶悶不樂,0.33,0.38
1041,惡人,0.22,0.65
1042,惡化,0.22,0.65
1043,惡劣,0.2,0.72
1044,惡言,0.2,0.7
1045,惡性,0.22,0.68
1046,惡毒,0.12,0.8
1047,惡狠狠,0.17,0.85
1048,惡耗,0.12,0.8
1049,惡臭,0.22,0.7
1050,惡鬥,0.2,0.82
1051,惡意,0.22,0.72
1052,惡運,0.22,0.62
1053,惡夢,0.25,0.72
1054,惱,0.28,0.7
1055,惶,0.3,0.68
1056,愉,0.6,0.53
1057,提防,0.45,0.62
1058,散漫,0.3,0.38
1059,景仰,0.72,0.6
1060,智慧,0.8,0.38
1061,最好,0.72,0.65
1062,最佳,0.78,0.68
1063,期盼,0.65,0.62
1064,棒,0.72,0.6
1065,棘手,0.3,0.65
1066,欺,0.28,0.65
1067,欽佩,0.78,0.6
1068,殘忍,0.12,0.85
1069,殘酷,0.1,0.9
1070,殘暴,0.08,0.98
1071,渴求,0.5,0.72
1072,渴望,0.57,0.6
1073,無用,0.33,0.43
1074,無助,0.3,0.47
1075,無味,0.43,0.28
1076,無奈,0.33,0.4
1077,無知,0.33,0.43
1078,無畏,0.7,0.68
1079,無害,0.57,0.4
1080,無效,0.4,0.43
1081,無益,0.35,0.35
1082,無能,0.25,0.62
1083,無常,0.33,0.4
1084,無望,0.22,0.47
1085,無聊,0.35,0.3
1086,無辜,0.43,0.38
1087,無意義,0.4,0.38
1088,無精打采,0.33,0.3
1089,無憂無慮,0.75,0.33
1090,無關緊要,0.45,0.3
1091,無懼,0.6,0.6
1092,焦急,0.25,0.75
1093,焦慮,0.28,0.68
1094,猶疑,0.38,0.53
1095,猶豫,0.4,0.47
1096,痛,0.25,0.65
1097,痛不欲生,0.1,0.93
1098,痛苦,0.17,0.72
1099,痛哭流涕,0.1,0.88
1100,發抖,0.3,0.65
1101,發牢騷,0.33,0.62
1102,發狂,0.2,0.85
1103,發怒,0.17,0.88
1104,發臭,0.28,0.6
1105,發愁,0.25,0.65
1106,盜,0.25,0.6
1107,結巴,0.38,0.45
1108,絕妙,0.72,0.72
1109,絕望,0.15,0.62
1110,脾氣,0.47,0.43
1111,舒服,0.7,0.33
1112,舒適,0.72,0.33
1113,華麗,0.72,0.57
1114,著迷,0.57,0.75
1115,虛心,0.65,0.2
1116,虛弱,0.25,0.3
1117,虛榮,0.25,0.65
1118,虛榮心,0.25,0.62
1119,訴苦,0.28,0.7
1120,詐騙,0.2,0.75
1121,費力,0.3,0.65
1122,跛,0.28,0.5
1123,跛腳,0.28,0.53
1124,鈍,0.35,0.2
1125,開心,0.78,0.7
1126,開明,0.75,0.5
1127,開朗,0.78,0.55
1128,閒散,0.45,0.15
1129,陽光,0.78,0.5
1130,隆重,0.7,0.75
1131,雅緻,0.72,0.43
1132,順利,0.75,0.5
1133,亂,0.33,0.6
1134,傲慢,0.22,0.62
1135,傳情,0.68,0.55
1136,債務,0.25,0.53
1137,傷,0.3,0.53
1138,傷人,0.28,0.72
1139,傷亡,0.15,0.8
1140,傷天害理,0.05,0.88
1141,傷心,0.25,0.65
1142,傷害,0.22,0.7
1143,傷神,0.3,0.57
1144,傷痕,0.33,0.5
1145,傷悲,0.25,0.62
1146,傷殘,0.22,0.6
1147,傷痛,0.25,0.7
1148,傷勢,0.3,0.45
1149,傷感,0.3,0.53
1150,傻,0.33,0.38
1151,傻子,0.33,0.4
1152,傻笑,0.38,0.55
1153,勢利,0.28,0.55
1154,嗚咽,0.2,0.57
1155,嫉,0.25,0.65
1156,嫌,0.25,0.6
1157,徬徨,0.38,0.43
1158,微笑,0.68,0.45
1159,微醺,0.6,0.53
1160,想念,0.47,0.55
1161,惹惱,0.25,0.78
1162,愁,0.3,0.47
1163,愚笨,0.28,0.38
1164,愛心,0.75,0.45
1165,愛情,0.75,0.6
1166,愛慕,0.72,0.65
1167,愛護,0.75,0.55
1168,感恩,0.78,0.47
1169,感情,0.55,0.53
1170,感傷,0.35,0.55
1171,感激,0.72,0.78
1172,愧,0.3,0.65
1173,慈祥,0.75,0.4
1174,慈善,0.75,0.45
1175,慈悲,0.57,0.5
1176,慌,0.28,0.72
1177,損人,0.25,0.65
1178,損害,0.22,0.68
1179,損傷,0.22,0.72
1180,損壞,0.2,0.78
1181,搏鬥,0.28,0.78
1182,敬畏,0.72,0.68
1183,敬重,0.75,0.62
1184,敬意,0.7,0.47
1185,暖和,0.68,0.38
1186,業障,0.25,0.6
1187,極好,0.85,0.85
1188,極端,0.43,0.75
1189,極樂,0.72,0.7
1190,毀掉,0.22,0.7
1191,毀敗,0.22,0.68
1192,毀棄,0.22,0.7
1193,毀傷,0.2,0.68
1194,毀損,0.22,0.65
1195,毀滅,0.22,0.82
1196,毀謗,0.2,0.8
1197,毀壞,0.28,0.6
1198,溫和,0.62,0.33
1199,溫柔,0.7,0.4
1200,溫情,0.7,0.47
1201,溫暖,0.78,0.4
1202,溫馨,0.8,0.38
1203,滑稽,0.4,0.5
1204,煩,0.3,0.55
1205,煩人,0.3,0.65
1206,煩心,0.28,0.62
1207,煩忙,0.28,0.65
1208,煩勞,0.28,0.6
1209,煩悶,0.25,0.6
1210,煩惱,0.25,0.65
1211,煩亂,0.25,0.78
1212,煩愁,0.22,0.72
1213,煩瑣,0.33,0.57
1214,煩擾,0.3,0.62
1215,煩雜,0.3,0.62
1216,煩躁,0.28,0.82
1217,痴狂,0.38,0.82
1218,禁止,0.3,0.53
1219,禁忌,0.25,0.53
1220,罪,0.25,0.55
1221,罪人,0.22,0.62
1222,罪大惡極,0.05,0.98
1223,罪犯,0.2,0.62
1224,罪名,0.2,0.53
1225,罪行,0.17,0.62
1226,罪惡,0.15,0.75
1227,罪過,0.2,0.68
1228,罪孽,0.12,0.82
1229,羨慕,0.62,0.57
1230,義,0.68,0.62
1231,義憤,0.28,0.82
1232,萬念俱灰,0.05,0.8
1233,萬歲,0.82,0.82
1234,落伍,0.33,0.4
1235,落空,0.3,0.6
1236,解決,0.65,0.47
1237,解脫,0.65,0.62
1238,詫異,0.4,0.72
1239,詭計,0.3,0.53
1240,詼諧,0.68,0.45
1241,誇大,0.33,0.5
1242,誠,0.72,0.47
1243,誠心,0.75,0.45
1244,誠實,0.78,0.47
1245,賊,0.2,0.62
1246,躲避,0.33,0.47
1247,遇難,0.12,0.68
1248,過失,0.25,0.55
1249,過錯,0.28,0.5
1250,違心,0.25,0.53
1251,違犯,0.25,0.53
1252,違抗,0.22,0.72
1253,違法,0.17,0.7
1254,違紀,0.2,0.57
1255,違約,0.22,0.57
1256,違背,0.25,0.47
1257,違規,0.3,0.53
1258,頑固,0.28,0.68
1259,頑強,0.5,0.65
1260,鼓舞,0.7,0.72
1261,厭世,0.15,0.7
1262,厭食,0.22,0.53
1263,厭倦,0.28,0.4
1264,厭惡,0.2,0.78
1265,厭煩,0.25,0.57
1266,嘆,0.38,0.33
1267,嘆息,0.3,0.35
1268,嘆氣,0.28,0.38
1269,嫩,0.53,0.43
1270,寧靜,0.65,0.08
1271,對抗,0.38,0.78
1272,對質,0.35,0.75
1273,慘,0.22,0.5
1274,慢,0.43,0.22
1275,慷慨,0.72,0.6
1276,摧毀,0.22,0.78
1277,榮幸,0.72,0.55
1278,榮耀,0.82,0.75
1279,榮譽,0.82,0.6
1280,滿足,0.8,0.45
1281,滿意,0.78,0.57
1282,漂亮,0.78,0.62
1283,漫不經心,0.28,0.3
1284,瑣事,0.35,0.45
1285,瑣碎,0.35,0.45
1286,疑心,0.28,0.55
1287,疑神,0.35,0.57
1288,疑惑,0.35,0.47
1289,疑慮,0.33,0.5
1290,疑點,0.35,0.4
1291,疑難,0.35,0.43
1292,疑懼,0.35,0.65
1293,瘋,0.2,0.85
1294,禍,0.28,0.62
1295,福氣,0.75,0.43
1296,精力,0.55,0.38
1297,精心,0.65,0.45
1298,精美,0.68,0.4
1299,精疲力盡,0.25,0.53
1300,精疲力竭,0.25,0.55
1301,精彩,0.82,0.82
1302,緊張,0.33,0.75
1303,緊繃,0.35,0.78
1304,腐朽,0.22,0.38
1305,腐臭,0.25,0.43
1306,腐敗,0.17,0.57
1307,腐爛,0.2,0.47
1308,認可,0.6,0.38
1309,誤,0.33,0.38
1310,誤會,0.28,0.55
1311,誤解,0.3,0.57
1312,說謊,0.2,0.55
1313,豪爽,0.78,0.72
1314,豪華,0.72,0.6
1315,輕快,0.65,0.47
1316,輕忽,0.35,0.53
1317,輕視,0.28,0.57
1318,輕蔑,0.2,0.72
1319,輕鬆,0.62,0.15
1320,遠離,0.43,0.35
1321,鄙,0.22,0.65
1322,酷刑,0.12,0.9
1323,酷愛,0.88,0.78
1324,酸,0.45,0.47
1325,酸甜苦辣,0.47,0.53
1326,銘印,0.6,0.65
1327,骯髒,0.28,0.45
1328,鼻酸,0.3,0.68
1329,僵化,0.35,0.38
1330,僵住,0.35,0.33
1331,僵冷,0.33,0.3
1332,僵局,0.35,0.4
1333,僵持,0.3,0.57
1334,僵硬,0.3,0.55
1335,劇烈,0.45,0.9
1336,嘮叨,0.35,0.6
1337,噁,0.17,0.62
1338,噁心,0.15,0.72
1339,墮落,0.17,0.65
1340,嫵媚,0.7,0.57
1341,嬉笑,0.6,0.57
1342,嬌弱,0.35,0.3
1343,寬大,0.65,0.4
1344,寬容,0.75,0.28
1345,德行,0.7,0.28
1346,慶功,0.75,0.78
1347,慶生,0.68,0.68
1348,慶幸,0.68,0.62
1349,慶賀,0.75,0.62
1350,憂心,0.33,0.62
1351,憂患,0.28,0.55
1352,憂勞,0.33,0.57
1353,憂傷,0.25,0.57
1354,憂愁,0.22,0.55
1355,憂煩,0.25,0.55
1356,憂慮,0.22,0.65
1357,憂鬱,0.17,0.47
1358,憎,0.15,0.72
1359,憐惜,0.45,0.47
1360,憤,0.2,0.82
1361,摯情,0.78,0.55
1362,摯愛,0.85,0.65
1363,摯誠,0.82,0.62
1364,撒謊,0.28,0.53
1365,撫育,0.62,0.35
1366,敵視,0.25,0.7
1367,敵意,0.3,0.68
1368,敵對,0.22,0.75
1369,暴力,0.15,0.85
1370,暴怒,0.1,0.93
1371,暴躁,0.22,0.88
1372,樂,0.7,0.57
1373,樂子,0.65,0.4
1374,樂不,0.53,0.43
1375,樂天,0.72,0.45
1376,樂在其中,0.75,0.57
1377,樂此,0.68,0.5
1378,樂而,0.65,0.43
1379,樂得,0.65,0.43
1380,樂善,0.68,0.43
1381,樂園,0.68,0.55
1382,樂極生悲,0.22,0.72
1383,樂趣,0.68,0.5
1384,樂觀,0.75,0.5
1385,歎為觀止,0.7,0.82
1386,毅然,0.6,0.68
1387,潔淨,0.65,0.45
1388,熱切,0.65,0.68
1389,熱烈,0.68,0.82
1390,熱衷,0.68,0.68
1391,熱情,0.7,0.68
1392,熱望,0.65,0.62
1393,熱淚盈眶,0.5,0.82
1394,熱鬧,0.68,0.7
1395,獎,0.72,0.53
1396,獎助,0.75,0.53
1397,獎杯,0.8,0.55
1398,獎狀,0.8,0.53
1399,獎金,0.82,0.57
1400,獎品,0.8,0.57
1401,獎章,0.72,0.5
1402,獎牌,0.72,0.53
1403,獎賞,0.7,0.55
1404,獎學金,0.8,0.57
1405,獎勵,0.75,0.53
1406,確定,0.65,0.53
1407,確信,0.65,0.55
1408,窮,0.33,0.38
1409,窮困,0.25,0.4
1410,糊塗,0.35,0.33
1411,緩和,0.53,0.28
1412,蔑視,0.2,0.7
1413,衝突,0.3,0.72
1414,衝擊,0.28,0.78
1415,調皮,0.5,0.47
1416,調戲,0.33,0.65
1417,賤民,0.15,0.82
1418,賤骨頭,0.1,0.85
1419,質疑,0.33,0.57
1420,輝煌,0.75,0.65
1421,適宜,0.68,0.5
1422,適時,0.65,0.5
1423,適當,0.65,0.45
1424,遭受,0.33,0.6
1425,鋌而走險,0.25,0.75
1426,震怒,0.17,0.9
1427,震顫,0.28,0.8
1428,震驚,0.33,0.8
1429,霉運,0.22,0.55
1430,養育,0.65,0.38
1431,魄力,0.75,0.65
1432,魅力,0.78,0.57
1433,懊悔,0.3,0.68
1434,懊惱,0.28,0.75
1435,戰火,0.25,0.72
1436,戰爭,0.25,0.78
1437,戰鬥,0.25,0.75
1438,戰勝,0.8,0.8
1439,戰亂,0.25,0.78
1440,擁抱,0.68,0.57
1441,擁護,0.68,0.62
1442,擅長,0.65,0.5
1443,操心,0.35,0.57
1444,操守,0.53,0.35
1445,操勞,0.33,0.53
1446,擔保,0.5,0.47
1447,擔憂,0.33,0.47
1448,整齊,0.7,0.4
1449,整潔,0.72,0.4
1450,機敏,0.75,0.57
1451,機警,0.75,0.68
1452,機靈,0.75,0.62
1453,激怒,0.2,0.85
1454,激動,0.47,0.85
1455,激情,0.55,0.8
1456,激勵,0.78,0.72
1457,獨自,0.4,0.28
1458,獨創,0.65,0.4
1459,瘸,0.3,0.33
1460,積極,0.7,0.7
1461,罹難,0.1,0.75
1462,膩,0.33,0.38
1463,興旺,0.72,0.57
1464,興致,0.65,0.62
1465,興趣,0.7,0.55
1466,興奮,0.8,0.78
1467,融洽,0.8,0.5
1468,褫奪,0.2,0.8
1469,親,0.7,0.6
1470,親吻,0.78,0.8
1471,親和,0.75,0.43
1472,親密,0.82,0.65
1473,諷刺,0.25,0.72
1474,諾言,0.72,0.6
1475,謀殺,0.08,0.85
1476,踴躍,0.72,0.72
1477,蹂躪,0.15,0.82
1478,輸家,0.25,0.5
1479,輸掉,0.3,0.53
1480,遲到,0.35,0.5
1481,遲鈍,0.33,0.33
1482,遲疑,0.33,0.47
1483,遺棄,0.22,0.6
1484,遺憾,0.2,0.47
1485,錯,0.25,0.47
1486,錯亂,0.25,0.65
1487,錯誤,0.28,0.57
1488,頭昏,0.28,0.45
1489,默哀,0.15,0.4
1490,優,0.72,0.55
1491,優秀,0.82,0.7
1492,優良,0.82,0.65
1493,優柔寡斷,0.28,0.45
1494,優美,0.72,0.55
1495,優勝,0.82,0.72
1496,優惠,0.72,0.65
1497,優雅,0.72,0.5
1498,優勢,0.72,0.62
1499,優點,0.75,0.5
1500,嚇,0.33,0.72
1501,壓力,0.2,0.72
1502,壓抑,0.2,0.55
1503,壓制,0.33,0.62
1504,壓迫,0.22,0.78
1505,尷尬,0.35,0.45
1506,懦,0.28,0.4
1507,擊,0.47,0.7
1508,擊敗,0.62,0.72
1509,濫用,0.25,0.57
1510,濫情,0.25,0.65
1511,燦爛,0.7,0.68
1512,獲勝,0.85,0.78
1513,獲獎,0.85,0.75
1514,瞧不起,0.28,0.65
1515,糟,0.3,0.43
1516,糟糕,0.28,0.53
1517,糟蹋,0.17,0.78
1518,繁瑣,0.35,0.5
1519,繃緊,0.4,0.78
1520,聰明,0.75,0.47
1521,膽小,0.33,0.45
1522,膽怯,0.28,0.53
1523,膽量,0.55,0.45
1524,膽戰心驚,0.22,0.82
1525,艱困,0.28,0.7
1526,艱辛,0.25,0.68
1527,艱苦,0.25,0.7
1528,艱深,0.3,0.68
1529,艱鉅,0.28,0.78
1530,艱險,0.25,0.85
1531,艱澀,0.28,0.78
1532,艱難,0.28,0.78
1533,虧損,0.28,0.57
1534,褻瀆,0.17,0.82
1535,謝天謝地,0.8,0.8
1536,謝意,0.65,0.62
1537,醜,0.33,0.35
1538,鮮明,0.68,0.55
1539,鮮美,0.65,0.55
1540,嚮往,0.62,0.5
1541,簡潔,0.65,0.47
1542,謹慎,0.68,0.4
1543,蹧蹋,0.2,0.78
1544,鎮定,0.55,0.22
1545,鎮靜,0.55,0.1
1546,鎮壓,0.25,0.75
1547,雜亂,0.33,0.57
1548,鬆懈,0.33,0.4
1549,壞人,0.3,0.55
1550,壞心,0.3,0.62
1551,壞死,0.22,0.5
1552,壞事,0.3,0.53
1553,壞處,0.3,0.5
1554,壞話,0.3,0.5
1555,壞運,0.25,0.57
1556,寵愛,0.72,0.57
1557,懲罰,0.3,0.65
1558,懶惰,0.3,0.38
1559,懶散,0.33,0.25
1560,懷鄉,0.5,0.45
1561,爆發,0.4,0.82
1562,癡迷,0.35,0.72
1563,穩健,0.75,0.53
1564,贊同,0.75,0.5
1565,辭職,0.38,0.47
1566,難吃,0.3,0.6
1567,難堪,0.25,0.68
1568,難過,0.25,0.57
1569,難聞,0.33,0.57
1570,難熬,0.2,0.78
1571,難題,0.33,0.53
1572,願,0.62,0.5
1573,騙,0.3,0.62
1574,嚴重,0.28,0.75
1575,嚴峻,0.25,0.82
1576,嚴格,0.35,0.72
1577,嚴酷,0.22,0.82
1578,嚴厲,0.35,0.8
1579,寶貴,0.75,0.5
1580,競爭,0.5,0.7
1581,耀眼,0.7,0.68
1582,觸目驚心,0.2,0.88
1583,觸怒,0.22,0.8
1584,觸景傷情,0.22,0.65
1585,贏取,0.68,0.62
1586,贏錢,0.7,0.65
1587,騷動,0.38,0.7
1588,騷擾,0.3,0.62
1589,懼怕,0.2,0.78
1590,爛,0.22,0.57
1591,犧牲,0.33,0.7
1592,纏身,0.33,0.65
1593,纏訟,0.33,0.57
1594,纏綿,0.72,0.7
1595,蠢,0.25,0.53
1596,護,0.62,0.43
1597,躊躇,0.4,0.47
1598,顧慮,0.4,0.45
1599,歡天喜地,0.9,0.85
1600,歡心,0.78,0.7
1601,歡呼,0.78,0.78
1602,歡欣,0.78,0.75
1603,歡笑,0.8,0.72
1604,歡喜,0.8,0.72
1605,歡愉,0.7,0.72
1606,歡樂,0.78,0.72
1607,歡聲,0.78,0.65
1608,歡歡喜喜,0.88,0.72
1609,顫抖,0.28,0.72
1610,驕傲,0.47,0.68
1611,髒,0.28,0.45
1612,攪亂,0.25,0.7
1613,變味,0.3,0.53
1614,變動,0.47,0.62
1615,變質,0.3,0.5
1616,驚,0.47,0.75
1617,驚人,0.47,0.82
1618,驚心,0.45,0.82
1619,驚呆,0.43,0.85
1620,驚奇,0.65,0.8
1621,驚怕,0.33,0.75
1622,驚恐,0.22,0.85
1623,驚悚,0.22,0.85
1624,驚異,0.35,0.78
1625,驚訝,0.5,0.78
1626,驚喜,0.78,0.8
1627,驚愕,0.33,0.8
1628,驚慌,0.28,0.82
1629,驚嘆,0.55,0.82
1630,驚疑,0.38,0.78
1631,驚歎,0.5,0.82
1632,驚險,0.38,0.82
1633,驚駭,0.28,0.85
1634,驚嚇,0.25,0.85
1635,驚擾,0.3,0.72
1636,體面,0.68,0.55
1637,體貼,0.75,0.57
1638,體會,0.68,0.43
1639,體諒,0.7,0.47
1640,靈巧,0.78,0.47
1641,靈活,0.72,0.4
1642,靈敏,0.7,0.4
1643,靈感,0.65,0.4
1644,齷齪,0.15,0.88
1645,讚,0.82,0.57
1646,讚不絕口,0.9,0.88
1647,讚佩,0.85,0.75
1648,讚嘆,0.82,0.78
1649,讚歎,0.82,0.78
1650,讚賞,0.85,0.72
1651,鬱,0.25,0.47
